time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-0.000618511936271,0.00141995848932,9.99673102409,0.501463110036,0.209134887043,0.0,-0.036555702903,0.0838554959323,-0.116581207354,-1.79582285651,-1.18193025053,0.0,462.708482634,357.43124518,405.613675827,182.020671838
0.12000000000000001,-0.00625841448578,0.0139126089389,9.98387473116,0.803056695601,0.358338096351,0.0,-0.162785569636,0.349190316356,-0.327316337256,-3.42477711686,-2.3932310542,0.0,467.943672482,358.028495933,393.904548736,175.949494914
0.18,-0.0215631285951,0.044901729955,9.95563715897,0.9464507484,0.486502508253,0.0,-0.35726779476,0.687888154507,-0.625312612983,-4.93365863015,-3.73233604029,0.0,482.147952681,356.263304915,391.576898925,167.786594405
0.23999999999999996,-0.0501167734576,0.0967038500224,9.90800543652,0.93089253427,0.531934960308,0.0,-0.598966249375,1.03712687587,-0.96444057239,-6.29317183974,-5.06598303713,0.0,489.999365986,354.65406801,392.806570418,163.494046437
0.3,-0.0934893665789,0.169038231497,9.84050297437,0.760090853146,0.4395302522,0.0,-0.842453183191,1.36976014553,-1.27671789777,-7.46969738774,-6.25528605299,0.0,492.137282407,355.403538868,395.380483032,163.718149001
0.36000000000000004,-0.149871301654,0.260051095562,9.75675134245,0.458655947523,0.192620672012,0.0,-1.02136889867,1.65231362632,-1.49840283184,-8.47117520557,-7.19644384283,0.0,487.397746934,356.082305261,400.880192888,167.768787158
0.4200000000000001,-0.21306600893,0.364538846377,9.662770737,0.0485212662926,6.09872112282,0.0,-1.05838423757,1.80415848155,-1.62455318207,-9.30239250466,-7.83440037421,0.0,475.330545549,354.777456517,408.206272057,176.777221595
0.48000000000000015,-0.273318435252,0.475373701116,9.56923749088,0.298280546049,6.25736776158,0.0,-0.969137208956,1.92803797774,-1.4956009876,-11.5619057239,-5.95646204057,0.0,465.126512498,550.161828992,533.671568051,142.869289275
0.5400000000000001,-0.331743529635,0.597296090731,9.48572441724,0.00565913628249,0.154286976824,0.0,-1.0011440539,2.10877378104,-1.28318934069,-13.1718452861,-4.22287037169,0.0,514.680767665,602.497092009,524.365683863,118.123012726
0.6000000000000002,-0.39375284569,0.721678280478,9.40549522974,5.50984975133,6.26708908802,0.0,-1.05401302564,1.98408411355,-1.40636372954,-12.9690241519,-4.9923716176,0.0,451.416137845,357.88158313,435.661230511,193.572964819
0.6600000000000003,-0.467189236157,0.828737711086,9.31982682074,0.328040997567,2.31568507725,0.0,-1.60275160652,1.72309910428,-1.61654751518,-16.3722272091,-9.02393757804,0.0,677.633257597,352.947232157,671.210120558,71.5932859301
0.7200000000000003,-0.580310164262,0.929675250427,9.19160975245,5.63308577528,1.98206632387,0.0,-2.18410849801,1.70532857074,-2.63128688875,-16.2671441764,-10.2027140748,0.0,600.154622987,433.090184088,518.997748284,131.121043335
0.7800000000000004,-0.726967813499,1.03563301212,9.01215778702,4.65834647823,1.4689807165,0.0,-2.71664834316,1.80722953432,-3.31558113395,-16.4412626014,-11.0374019374,0.0,500.022578043,286.192775118,541.673922743,144.878595485
0.8400000000000004,-0.91583112183,1.14718181251,8.79543514615,4.34954836535,2.32407340444,0.0,-3.54101311367,2.04217080247,-3.88953226858,-18.5059970722,-14.1063652358,0.0,684.098414385,316.71263308,668.830024346,90.8474522261
0.9000000000000005,-1.14822416658,1.28393881136,8.55132119213,3.37887689211,1.77170990884,0.0,-4.24002794332,2.44167016801,-4.22351519906,-19.4796454956,-15.492391285,0.0,651.14157849,339.220722753,654.46420797,102.488048518
0.9600000000000005,-1.4243163167,1.43192020306,8.28183882584,2.23688873517,0.855434984828,0.0,-4.93745841268,2.50704758531,-4.84592138085,-19.1439349012,-15.8449115712,0.0,622.721941083,352.987400624,596.550332628,124.600703785
1.0200000000000005,-1.72998396263,1.59190837073,7.96782402367,1.64613344289,6.28174245707,0.0,-5.20769281459,2.87916282538,-5.6089902681,-17.3982935629,-15.1623172603,0.0,558.267187479,353.102396452,484.172029521,168.274489158
1.0800000000000005,-2.04396716607,1.78157463504,7.6151238376,1.09657642504,6.27809372285,0.0,-5.26535394985,3.43921850918,-6.10125943401,-15.7549681861,-12.9087831526,0.0,491.404962922,452.804293898,430.838535892,174.70586709
1.1400000000000006,-2.36130194742,2.00132656472,7.2431571168,0.317965718889,0.00356593095486,0.0,-5.31870738755,3.83307631005,-6.25786479292,-14.824875935,-10.8134883537,0.0,461.092910609,470.10123775,447.682086948,191.526879197
1.2000000000000006,-2.68046990169,2.23280988616,6.86310765877,5.76524153834,5.83334018401,0.0,-5.29159753237,3.83928176717,-6.44362336759,-14.3225264291,-9.79578931752,0.0,419.951250927,379.449238833,480.129135139,241.3621799
1.2600000000000007,-2.98690461407,2.46433924404,6.47618027305,1.74441677521,5.64961220646,0.0,-4.8856399324,4.1301505339,-6.52267018865,-18.6828848931,-8.30457827592,0.0,477.669406226,502.918645961,763.656222328,130.332467391
1.3200000000000007,-3.26449128609,2.73567469387,6.06961620465,0.624503203196,5.69268311427,0.0,-4.367472327,4.8722469717,-6.89366114053,-18.6458614583,-6.56684083505,0.0,557.561232854,616.103170712,601.194698156,157.06189593
1.3800000000000008,-3.51158781597,3.03561379893,5.65970185258,5.8011573383,5.75766046972,0.0,-3.89263359616,5.01440719417,-6.77138493112,-18.4357423278,-4.96994286166,0.0,585.791959141,651.176586401,586.271101339,152.264580892
